CITY,Total Population 65–74 %,Total Population 65–74 %,Total Population 65–74 %,16+ Years Not in Labor Force %,Unemployed (19–64) With Public Health Insurance %,Employed (19–64) With Public Health Insurance %,Owner-Occupied Housing Units %,Homes Using Oil/Kerosene %,Homes Heating With Coal or Coke,Homes With No Heat %,Homes Heating With Wood,Homes Using Solar Energy,Workers Carpooling %,Homes Using Solar Energy,Foreign-Born Not a U.S. Citizen %,Foreign-Born Not a U.S. Citizen %,Homes Heating With Wood %,Workers Carpooling %,Workers Carpooling %

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0069E,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0020PE,DP03_0020PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Warner Robins, GA Metro Area",7.2,7.2,7.2,37.2,17.4,6.4,50.2,0,0,0.4,272,53,9.2,53,52227,52227,0.3,9.2,9.2
"Warsaw, IN Micro Area",9.1,9.1,9.1,30.5,32.1,18,67.3,0.1,156,0.7,2509,1741,9.1,1741,12437,12437,0.8,9.1,9.1
"Wichita Falls, TX Metro Area",8.9,8.9,8.9,33.9,34.8,9.6,58.8,0.1,0,0.3,1270,0,9.5,0,46745,46745,1.5,9.5,9.5
"Williamsport, PA Metro Area",10.2,10.2,10.2,35.9,34.5,12.2,70.1,0.3,103,0.6,1699,1063,8.4,1063,13148,13148,0.5,8.4,8.4
"Wilmington, NC Metro Area",9.5,9.5,9.5,40.5,38.6,13.9,58.4,0.1,0,1.1,444,0,11.1,0,8922,8922,0.3,11.1,11.1
"Wilson, NC Micro Area",10,10,10,32.8,65.6,6.1,69.8,,,,,,6.2,,217458,217458,,6.2,6.2
"Watertown-Fort Atkinson, WI Micro Area",9,9,9,32.2,40.8,11.9,60.2,0.6,185,0.5,7611,542,7.6,542,8137,8137,0.9,7.6,7.6
"Watertown-Fort Drum, NY Metro Area",12.4,12.4,12.4,34.7,26.4,9,71.2,33.8,0,0.3,4493,226,5.9,226,5449,5449,7.2,5.9,5.9
"Wausau, WI Metro Area",11.3,11.3,11.3,41.4,14.7,12.2,68.8,,,,,,8.1,,1413,1413,,8.1,8.1
"Weirton-Steubenville, WV-OH Metro Area",10.5,10.5,10.5,48.5,88.6,29.3,70.4,1.4,315,0.9,789,156,13.4,156,1842,1842,1.4,13.4,13.4
"Wenatchee, WA Metro Area",12.8,12.8,12.8,42.3,54.9,18.1,75.1,3.7,647,0.7,2742,29,10.9,29,35283,35283,7.1,10.9,10.9
"Wheeling, WV-OH Metro Area",10.1,10.1,10.1,37.7,35.2,7.6,62.3,0,0,1,30,425,11.4,425,9441,9441,0,11.4,11.4
"Whitewater-Elkhorn, WI Micro Area",11,11,11,38.2,23.9,15.9,57.5,0.3,0,0.3,1098,258,6.8,258,24937,24937,2.9,6.8,6.8
"Wichita, KS Metro Area",11,11,11,37.9,29.3,12.3,72.5,0.2,0,0.9,256,1349,9.7,1349,1495,1495,0.2,9.7,9.7
"Winchester, VA-WV Metro Area",11.2,11.2,11.2,41.6,14.7,7.2,79.1,,,,,,9.3,,2461,2461,,9.3,9.3
"Winston-Salem, NC Metro Area",11.9,11.9,11.9,48.9,52.1,19.8,75.7,7.6,354,0.5,2779,0,7.3,0,1620718,1620718,7.1,7.3,7.3
"Wisconsin Rapids-Marshfield, WI Micro Area",7.6,7.6,7.6,30.2,14.4,5.3,59.8,0.1,1036,0.6,2475,8703,10.2,8703,26065,26065,0.1,10.2,10.2
"Wooster, OH Micro Area",9.1,9.1,9.1,36.5,45.3,7.7,64.2,0.2,0,0.8,105,0,11.2,0,1598,1598,0.2,11.2,11.2
"Worcester, MA-CT Metro Area",12.4,12.4,12.4,46.5,57.7,21.3,65.6,0.1,0,0.7,275,69,10.5,69,3177,3177,0.9,10.5,10.5
"Yakima, WA Metro Area",13.8,13.8,13.8,48,40.1,25.8,68.6,4.1,0,0.8,1343,133,11.8,133,12389,12389,3.1,11.8,11.8
"York-Hanover, PA Metro Area",13.2,13.2,13.2,42.6,31,7.8,74.9,0.1,0,0.6,346,0,6.5,0,21596,21596,0.3,6.5,6.5
"Youngstown-Warren-Boardman, OH-PA Metro Area",11.2,11.2,11.2,36.1,44,13.6,73.1,0.1,0,0.8,520,37,8.5,37,35709,35709,0.3,8.5,8.5
"Yuba City, CA Metro Area",11.2,11.2,11.2,36.3,48.7,14.9,63.6,1.2,120,0.6,1598,213,8.2,213,5445,5445,0.5,8.2,8.2
"Yuma, AZ Metro Area",10.6,10.6,10.6,39,12.5,7.6,75.3,,,,,,9.3,,3313,3313,,9.3,9.3
"Zanesville, OH Micro Area",12.1,12.1,12.1,41,68,15.9,69.2,,,,,,5,,69689,69689,,5,5
"Charleston-North Charleston, SC Metro Area",15.1,15.1,15.1,46,30,10.3,75.3,0.1,0,1.8,557,3020,9.7,3020,371233,371233,0.2,9.7,9.7
"Champaign-Urbana, IL Metro Area",8.9,8.9,8.9,27.8,37.6,10.7,63.1,0.1,58,0.5,4756,9285,7.5,9285,65858,65858,0.4,7.5,7.5
"Charleston, WV Metro Area",8.7,8.7,8.7,28.9,51.8,12.6,69.1,0.2,0,0.6,1774,275,7.9,275,476525,476525,0.6,7.9,7.9
"Charlotte-Concord-Gastonia, NC-SC Metro Area",11,11,11,36.9,45.9,15.5,72.1,0.2,849,0.4,5545,470,8,470,5088,5088,0.3,8,8
"Charlottesville, VA Metro Area",11.8,11.8,11.8,41.8,20.1,8.4,67.1,,,,,,8.7,,15729,15729,,8.7,8.7
"Chattanooga, TN-GA Metro Area",11.3,11.3,11.3,35.6,35.8,19.8,73,10,61,0.7,711,21,8.6,21,1800,1800,1,8.6,8.6
"Cheyenne, WY Metro Area",13.5,13.5,13.5,43.8,75.6,15.8,78.3,39.7,1474,0.4,1386,0,10.8,0,2611,2611,4.1,10.8,10.8
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.5,11.5,11.5,32.8,35.7,12.5,74.1,0.6,106,0.5,747,6,6.9,6,5105,5105,1.7,6.9,6.9
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",13.1,13.1,13.1,37,45.2,14.2,72.5,5.7,12,0.6,4432,178,8.3,178,80588,80588,3.7,8.3,8.3
"Burlington, NC Metro Area",10.2,10.2,10.2,34.2,26,6.1,62.8,0.4,124,0.6,2348,747,7.7,747,18527,18527,0.9,7.7,7.7
"Burlington-South Burlington, VT Metro Area",8.3,8.3,8.3,44.8,32.2,14.1,67.6,,,,,,,,19428,19428,,,
"California-Lexington Park, MD Metro Area",12.3,12.3,12.3,40.4,36.4,13.7,79.1,23.3,510,1.6,1963,57,10,57,3061,3061,3.2,10,10
"Canton-Massillon, OH Metro Area",10.8,10.8,10.8,34.4,18.8,12.7,68.4,2.1,24,0.4,2301,12,6.1,12,57654,57654,3.2,6.1,6.1
"Cape Coral-Fort Myers, FL Metro Area",8,8,8,46.6,51.3,32.2,56.2,,,,,,9.7,,5301,5301,,9.7,9.7
"Chico, CA Metro Area",9.9,9.9,9.9,35.7,65.8,21.6,65.2,,,,,,9.4,,20388,20388,,9.4,9.4
"Chillicothe, OH Micro Area",8.7,8.7,8.7,34.6,18.3,10.3,71.5,0.3,164,0.1,1478,0,14.1,0,2826,2826,2,14.1,14.1
"Cincinnati, OH-KY-IN Metro Area",12.1,12.1,12.1,40,53.7,22.4,70.3,5.3,252,0.2,686,0,8.5,0,196407,196407,1.9,8.5,8.5
"Claremont-Lebanon, NH-VT Micro Area",8,8,8,37.1,24.6,9.1,63.4,0.1,0,0.6,394,1571,12.6,1571,2874,2874,0.1,12.6,12.6
"Clarksburg, WV Micro Area",10.3,10.3,10.3,35,36.8,14.7,61.2,,,,,,11.7,,12272,12272,,11.7,11.7
"Clarksville, TN-KY Metro Area",12.2,12.2,12.2,41.6,51.9,18.9,69,1.7,74,0.2,1433,0,11,0,16679,16679,1.3,11,11
