CITY,Total Population Under 18, Total Population Under 18, Total Population of 18+, Total Population of 18+, Total Population of 18+, Per Capita Income, Median Household Income, Total Civilian Labor Force, Employed Health Insurance Coverage Ages 19-64, Renter-Occupied Housing Units, Median Rent for Occupied Housing Units, Estimate of Owner-Occupied Housing Units Without a Mortgage, Median Housing Cost, Total Population Estimate, Total Male Population Estimate, Total Male Population Estimate, Estimate of Foreign-Born Population, Estimate of Foreign-Born Population, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, % Workers Taking Taxi to Work, Estimate of Population >25 With a Graduate Degree, Estimate of Population >25 With a Graduate Degree, Estimate of Voting Age Population, Estimate of Voting Age Population, Estimate of Homes Using Electric Heat, Estimate of Homes Using Gas, Estimate of Male Citizen Voting Population, Estimate of Total Households With Computers and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Trenton, NJ Metro Area",13823,13823,62262,62262,62262,33135,66088,39825,3099,9642,2.17,945,11776,8280,205400,76085,76085,36982,36982,2220,2220,1639,1639,1639,11348,11348,61409,61409,2549,1388,29720,0
"Twin Falls, ID Metro Area",84883,84883,214729,214729,214729,31411,68283,142099,17450,33039,2.79,1027,43091,25710,267700,299612,299612,150811,150811,36396,36396,11852,11852,11852,33496,33496,185624,185624,79963,18247,92293,0
"Truckee-Grass Valley, CA Micro Area",10508,10508,63720,63720,63720,48347,68589,39292,1700,14198,2.15,1540,8356,10285,565400,74228,74228,39134,39134,11247,11247,2162,2162,2162,12139,12139,58011,58011,,,30206,1.6
"Tucson, AZ Metro Area",121467,121467,339526,339526,339526,26927,54370,194726,25958,69303,2.49,906,54763,33022,159800,460993,460993,229494,229494,30015,30015,19999,19999,19999,42071,42071,322134,322134,132474,19892,159611,1.5
"Tullahoma-Manchester, TN Micro Area",19278,19278,63266,63266,63266,27393,53440,39235,3289,9231,2.39,685,14410,10510,109800,82544,82544,40318,40318,,,3339,3339,3339,6814,6814,63075,63075,,,30520,0
"Tulsa, OK Metro Area",27201,27201,109415,109415,109415,32957,59608,74326,5126,18541,1.98,847,21346,16628,194700,136616,136616,66756,66756,2547,2547,2360,2360,2360,19469,19469,108097,108097,13997,34440,52180,0
"Tupelo, MS Micro Area",119656,119656,369551,369551,369551,28659,53493,231479,27484,57833,2.53,818,63843,62637,166300,489207,489207,237731,237731,8232,8232,27954,27954,27954,59341,59341,361824,361824,,,172871,0.1
"Tuscaloosa, AL Metro Area",48176,48176,185498,185498,185498,27904,49908,121142,6582,37182,2.22,882,36407,16066,150200,233674,233674,119953,119953,11977,11977,8851,8851,8851,26507,26507,169003,169003,30759,48577,84836,0
"Tyler, TX Metro Area",23526,23526,79650,79650,79650,24342,46217,44907,2242,15539,2.57,818,12989,9548,138400,103176,103176,47820,47820,2522,2522,6664,6664,6664,8382,8382,78035,78035,28500,6070,35963,
"Ukiah, CA Micro Area",52121,52121,156914,156914,156914,29899,51547,91179,12018,26474,2.58,868,27738,25293,164700,209035,209035,101724,101724,3092,3092,14290,14290,14290,20063,20063,154075,154075,,,74340,0
"Valdosta, GA Metro Area",15490,15490,56196,56196,56196,23358,47094,30552,2740,8330,2.53,757,8778,8132,161700,71686,71686,36287,36287,1952,1952,5304,5304,5304,4933,4933,54632,54632,22962,1010,28769,2
"Vallejo-Fairfield, CA Metro Area",35605,35605,176576,176576,176576,27575,50179,80322,13405,25307,2.46,873,36199,29589,186200,212181,212181,106919,106919,12214,12214,17157,17157,17157,13958,13958,171003,171003,50573,31943,86451,0.1
"Urban Honolulu, HI Metro Area",159139,159139,565638,565638,565638,25281,51833,327074,25339,73140,3.23,998,87059,78430,175400,724777,724777,355540,355540,56791,56791,43172,43172,43172,69107,69107,535299,535299,227352,6900,258689,2.4
"Utica-Rome, NY Metro Area",127872,127872,417852,417852,417852,33658,67376,284704,18154,62179,2.31,1046,87638,54884,227600,545724,545724,266670,266670,19977,19977,27085,27085,27085,68160,68160,408366,408366,70551,68947,197143,0.2
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",112205,112205,438186,438186,438186,31534,59117,291003,30596,70506,2.22,852,90713,54635,159700,550391,550391,269771,269771,19871,19871,13238,13238,13238,71931,71931,420873,420873,28705,149980,202681,0.5
"Waterloo-Cedar Falls, IA Metro Area",89076,89076,187576,187576,187576,20222,56084,122883,4058,30600,3.28,855,25923,19803,145100,276652,276652,135317,135317,53730,53730,24457,24457,24457,23467,23467,143873,143873,,,69754,
"Victoria, TX Metro Area",52678,52678,165517,165517,165517,22144,43038,96135,25962,28020,2.52,752,27819,23255,157300,218195,218195,107015,107015,27151,27151,11324,11324,11324,20591,20591,150744,150744,27984,43325,73377,0
"Vineland-Bridgeton, NJ Metro Area",520797,520797,1745918,1745918,1745918,32511,62107,1149016,101956,372222,2.64,1187,305910,135475,313100,2266715,2266715,1130623,1130623,397278,397278,127911,127911,127911,262662,262662,1514146,1514146,319515,476114,752315,0.4
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",21107,21107,62011,62011,62011,21576,39213,33993,2955,8359,2.67,641,7156,14503,104700,83118,83118,41868,41868,,,4494,4494,4494,5965,5965,60719,60719,,,29060,
"Visalia-Porterville, CA Metro Area",22753,22753,99506,99506,99506,33253,64233,74223,2951,24605,2.03,961,14704,9199,209300,122259,122259,59682,59682,3679,3679,2422,2422,2422,21459,21459,94171,94171,,,45696,0.4
"Kalamazoo-Portage, MI Metro Area",29096,29096,96947,96947,96947,26031,51332,52502,6414,20619,2.67,812,13530,9978,125500,126043,126043,66345,66345,4996,4996,6415,6415,6415,10082,10082,94834,94834,23919,17489,50043,2.3
"Kapaa, HI Micro Area",37708,37708,179278,179278,179278,37089,61321,112953,10125,23455,2.09,945,37126,29434,208200,216986,216986,107804,107804,7004,7004,9069,9069,9069,33714,33714,174565,174565,6185,3192,86077,0.5
"Kalispell, MT Micro Area",31560,31560,110233,110233,110233,29629,61204,73235,8023,15523,2.44,882,23525,14813,181300,141793,141793,69834,69834,4742,4742,8313,8313,8313,13483,13483,108219,108219,11090,17701,52837,0.1
"Kankakee, IL Metro Area",13271,13271,49719,49719,49719,34343,61191,32174,3122,6782,2.06,778,11568,8565,216600,62990,62990,30534,30534,1446,1446,3269,3269,3269,6671,6671,49324,49324,9789,12420,24244,0
"Kansas City, MO-KS Metro Area",23271,23271,85006,85006,85006,32338,63813,58379,4728,16084,2.18,821,19541,10299,173900,108277,108277,53212,53212,3906,3906,4218,4218,4218,12689,12689,83221,83221,2304,6474,40701,0.2
"Keene, NH Micro Area",113827,113827,403229,403229,403229,33582,60492,274318,25007,84621,2.3,885,81758,39535,199500,517056,517056,249812,249812,24920,24920,18021,18021,18021,73159,73159,381828,381828,122969,74453,180943,0.2
"Kennewick-Richland, WA Metro Area",23627,23627,78724,78724,78724,27215,60429,49294,5861,12193,2.32,735,16925,11342,128700,102351,102351,52007,52007,,,4951,4951,4951,9208,9208,77987,77987,8362,25897,39135,0
"Key West, FL Micro Area",76399,76399,260142,260142,260142,34273,61539,191011,7168,52808,2.03,856,53340,28860,197100,336541,336541,168784,168784,15540,15540,8382,8382,8382,52903,52903,248443,248443,46554,80660,123424,0
"Killeen-Temple, TX Metro Area",172607,172607,571876,571876,571876,30899,56849,363515,40174,103973,2.34,829,113247,71345,160500,744483,744483,358186,358186,24498,24498,30047,30047,30047,96172,96172,556007,556007,151214,124846,262176,0.1
"Kingsport-Bristol-Bristol, TN-VA Metro Area",42274,42274,99486,99486,99486,24488,61467,69890,3186,15662,2.56,836,19011,10370,272800,141760,141760,70545,70545,5787,5787,4649,4649,4649,16080,16080,94033,94033,4759,35660,47097,0
"Kingston, NY Metro Area",34856,34856,113320,113320,113320,20939,37029,56263,9402,17011,2.37,602,15978,21218,100700,148176,148176,73251,73251,,,12730,12730,12730,7618,7618,112672,112672,34161,13599,54659,
"Klamath Falls, OR Micro Area",70340,70340,216317,216317,216317,28898,55970,128610,5531,32929,2.5,851,31840,38195,150400,286657,286657,142984,142984,14401,14401,17532,17532,17532,25682,25682,206235,206235,,,100767,0.1
"Knoxville, TN Metro Area",25198,25198,85395,85395,85395,30404,55497,46434,6650,14985,2.38,934,18156,9649,281300,110593,110593,54770,54770,3291,3291,5296,5296,5296,8010,8010,82791,82791,35470,3173,41020,0.2
"Kokomo, IN Metro Area",2834225,2834225,10380574,10380574,10380574,37764,77774,6996071,962665,2264637,2.85,1655,1471237,636804,666900,13214799,13214799,6517898,6517898,3663433,3663433,727016,727016,727016,2119864,2119864,8489127,8489127,1113689,2926246,4115502,0.4
"La Crosse-Onalaska, WI-MN Metro Area",282962,282962,983427,983427,983427,32999,61172,655735,72258,162394,2.32,880,221885,110967,186800,1266389,1266389,617157,617157,51507,51507,56428,56428,56428,166621,166621,942093,942093,196112,266336,452479,0.3
"Lafayette, LA Metro Area",76302,76302,245680,245680,245680,28530,54598,165943,8080,52217,2.47,959,36835,32786,149900,321982,321982,158403,158403,10748,10748,12993,12993,12993,36911,36911,233949,233949,,,113380,0.2
"Lafayette-West Lafayette, IN Metro Area",22057,22057,64658,64658,64658,23991,53320,41303,2333,9918,2.39,806,9975,12400,99300,86715,86715,42089,42089,,,4075,4075,4075,6020,6020,60460,60460,,,28991,
"LaGrange, GA Micro Area",32041,32041,98584,98584,98584,18836,35035,50546,4179,15322,2.91,658,11483,19467,73600,130625,130625,63160,63160,4607,4607,13201,13201,13201,8482,8482,94277,94277,35837,3594,44215,
"Lake Charles, LA Metro Area",53588,53588,212598,212598,212598,29644,57736,129467,12647,29834,2.39,834,41141,31904,174000,266186,266186,127034,127034,5630,5630,14538,14538,14538,32664,32664,208011,208011,82022,6051,98658,0.2
"Lake City, FL Micro Area",53331,53331,177799,177799,177799,28797,48435,106376,7939,31922,2.61,831,29975,23967,125200,231130,231130,111996,111996,5237,5237,13180,13180,13180,20174,20174,174450,174450,54529,25719,81680,0.8
"Lake Havasu City-Kingman, AZ Metro Area",43140,43140,114187,114187,114187,24584,64827,65742,15600,16166,3.62,1028,19278,8943,294000,157327,157327,76562,76562,27060,27060,11918,11918,11918,10116,10116,93809,93809,17367,12261,43508,0
"Lakeland-Winter Haven, FL Metro Area",135329,135329,529536,529536,529536,41254,75545,385935,22963,109934,2.01,1088,115242,53838,276600,664865,664865,331247,331247,34398,34398,13483,13483,13483,130659,130659,501607,501607,58863,186097,246074,0.1
"Lancaster, PA Metro Area",84269,84269,332756,332756,332756,41779,83626,240749,16978,53493,2.15,1262,74023,35072,293300,417025,417025,207682,207682,28810,28810,14956,14956,14956,72579,72579,316423,316423,16160,63829,155877,0.6
"Lansing-East Lansing, MI Metro Area",28883,28883,101402,101402,101402,27537,59010,63072,4261,23773,2.51,991,13163,9590,189200,130285,130285,67900,67900,3925,3925,1727,1727,1727,15109,15109,97549,97549,17678,22895,51797,0.2
"Laredo, TX Metro Area",16155,16155,62826,62826,62826,32054,60785,41409,2873,8774,2.11,751,13299,11758,140300,78981,78981,39977,39977,1630,1630,2589,2589,2589,8382,8382,61264,61264,2574,24910,30184,0
"Las Cruces, NM Metro Area",21597,21597,80330,80330,80330,32068,63126,58720,6712,13866,2.15,865,16238,9687,207000,101927,101927,50357,50357,1749,1749,2069,2069,2069,15082,15082,76637,76637,5940,27019,37746,0
"Las Vegas-Henderson-Paradise, NV Metro Area",26106,26106,95048,95048,95048,26583,51783,56674,6839,16274,2.23,705,19069,14469,118600,121154,121154,61751,61751,,,6597,6597,6597,9555,9555,94679,94679,11517,30069,48152,0
"Laurel, MS Micro Area",11020,11020,52110,52110,52110,30825,51101,31465,3104,6689,1.81,604,11489,10971,130100,63130,63130,31590,31590,,,3091,3091,3091,5522,5522,51534,51534,3063,13772,25829,0
"Lawrence, KS Metro Area",13465,13465,52304,52304,52304,25143,47206,31778,2133,8138,2.08,667,12145,6844,100500,65769,65769,32080,32080,,,2859,2859,2859,5636,5636,51527,51527,,,24323,0.1
"Lawton, OK Metro Area",18851,18851,60605,60605,60605,31248,64099,41024,2261,6636,2.33,688,15169,9186,171200,79456,79456,40048,40048,2604,2604,4676,4676,4676,9162,9162,57909,57909,5367,20736,28682,0
"Lebanon, PA Metro Area",1434767,1434767,4845930,4845930,4845930,51437,105659,3529228,242467,821193,2.5,1708,1094149,335660,446300,6280697,6280697,3067980,3067980,1043157,1043157,186422,186422,186422,1132060,1132060,4232817,4232817,973054,1103937,2035841,1.3
"Lewiston, ID-WA Metro Area",36709,36709,131813,131813,131813,33454,63131,92517,8874,20251,2.23,826,28315,18571,158500,168522,168522,83035,83035,6914,6914,4807,4807,4807,21865,21865,126752,126752,17971,41658,61481,0.2
"Lewiston-Auburn, ME Metro Area",17907,17907,66862,66862,66862,33755,71708,46750,4010,8795,2.15,869,16455,7533,209000,84769,84769,42085,42085,1966,1966,2568,2568,2568,11417,11417,65774,65774,5578,21448,32597,0
"Lexington-Fayette, KY Metro Area",25941,25941,83893,83893,83893,26701,53917,40504,7047,17878,2.36,1025,13183,10153,150600,109834,109834,57906,57906,3946,3946,4599,4599,4599,9421,9421,82135,82135,8820,16362,44115,0.5
"Lima, OH Metro Area",35811,35811,127474,127474,127474,32924,65094,88224,5364,18001,1.93,750,28470,20871,163000,163285,163285,82523,82523,5248,5248,5636,5636,5636,18612,18612,124355,124355,10134,37552,62505,0
"Lincoln, NE Metro Area",20769,20769,95047,95047,95047,27264,49510,52569,4708,14572,1.96,654,16254,19239,95400,115816,115816,56731,56731,,,5819,5819,5819,9954,9954,94450,94450,15976,24686,45924,0
"Little Rock-North Little Rock-Conway, AR Metro Area",28911,28911,91718,91718,91718,32765,60532,58758,6277,15615,2.74,959,17034,11829,327500,120629,120629,60467,60467,17649,17649,7181,7181,7181,14039,14039,80286,80286,,,39654,0
"Logan, UT-ID Metro Area",26340,26340,112608,112608,112608,30331,50440,63948,5681,14462,1.95,685,21048,20286,115500,138948,138948,69653,69653,1677,1677,5372,5372,5372,13119,13119,112121,112121,16991,30264,55979,0
"London, KY Micro Area",21036,21036,82832,82832,82832,35093,63549,56604,3228,12630,2.1,864,19551,10618,222100,103868,103868,52467,52467,4212,4212,4137,4137,4137,14250,14250,80409,80409,6208,31835,39774,0
"Longview, TX Metro Area",162323,162323,477895,477895,477895,30730,59779,325783,19774,87537,2.31,838,98599,60700,152600,640218,640218,316221,316221,35945,35945,25260,25260,25260,84363,84363,455402,455402,74450,155865,222886,0
"Longview, WA Metro Area",33442,33442,117812,117812,117812,27206,52233,70922,5186,20559,2.28,776,17319,18795,117000,151254,151254,77541,77541,5683,5683,7783,7783,7783,13377,13377,113662,113662,,,58717,0.1
"Los Angeles-Long Beach-Anaheim, CA Metro Area",23218,23218,90081,90081,90081,29134,53881,52987,5212,13634,2.02,755,17731,13477,161800,113299,113299,55872,55872,1017,1017,6163,6163,6163,12418,12418,88815,88815,9823,15075,42962,0.6
"Louisville\/Jefferson County, KY-IN Metro Area",56786,56786,240747,240747,240747,34372,57667,153259,9331,45627,2.26,1093,48703,27404,257100,297533,297533,140924,140924,9018,9018,11636,11636,11636,52722,52722,233630,233630,107681,7995,110155,0.1
"Lubbock, TX Metro Area",18675,18675,63126,63126,63126,24201,38830,39079,2552,13932,2.32,690,10607,7845,138200,81801,81801,37926,37926,3972,3972,6300,6300,6300,7023,7023,59560,59560,,,26680,
"Lufkin, TX Micro Area",30883,30883,108242,108242,108242,33494,76583,69896,3205,13898,2.6,1120,23711,12453,247300,139125,139125,68163,68163,7432,7432,7134,7134,7134,14382,14382,101096,101096,25363,13140,48696,0.6
"Lumberton, NC Micro Area",146849,146849,529159,529159,529159,29146,52322,324898,16270,87253,2.35,792,112402,70618,164800,676008,676008,324295,324295,36246,36246,35025,35025,35025,81489,81489,503348,503348,180835,57876,236702,0.2
"Lynchburg, VA Metro Area",15654,15654,57345,57345,57345,32873,56278,36188,4398,9063,1.89,725,13919,9702,131000,72999,72999,35862,35862,,,3226,3226,3226,6671,6671,56768,56768,3991,21193,27627,0.2
"Macon-Bibb County, GA Metro Area",27677,27677,88033,88033,88033,27480,57458,57894,4689,13056,2.13,718,18081,13452,161100,115710,115710,57921,57921,1398,1398,4034,4034,4034,9939,9939,86581,86581,9916,27188,42041,0
"Madera, CA Metro Area",196466,196466,750938,750938,750938,38315,76348,511936,69038,127577,2.24,1086,161957,73643,294300,947404,947404,468241,468241,81905,81905,36355,36355,36355,138850,138850,701051,701051,65605,109601,341740,0.8
"Madison, WI Metro Area",73689,73689,177184,177184,177184,24781,56233,117430,16485,30713,2.9,839,31517,21762,213800,250873,250873,125765,125765,42405,42405,14449,14449,14449,17003,17003,145202,145202,55494,19181,70155,0
"Manchester-Nashua, NH Metro Area",17508,17508,72441,72441,72441,8949,15695,27461,8839,8035,2.95,386,,,83400,89949,89949,43293,43293,null,null,null,null,null,null,null,72392,72392,,,34405,null
"Manhattan, KS Metro Area",98639,98639,350419,350419,350419,33979,69172,236349,19205,43776,2.31,950,84016,47649,191000,449058,449058,222750,222750,13462,13462,22021,22021,22021,54403,54403,340800,340800,40523,89652,166336,0.4
"Manitowoc, WI Micro Area",106394,106394,429687,429687,429687,28064,48558,253129,33334,67750,1.99,675,85779,77114,108900,536081,536081,262932,262932,8217,8217,28016,28016,28016,57347,57347,426389,426389,32485,177886,205770,0.1
"Mankato-North Mankato, MN Metro Area",46549,46549,129090,129090,129090,28757,61307,74506,16097,23350,2.83,1087,23873,12643,300400,175639,175639,88746,88746,25447,25447,12613,12613,12613,14406,14406,116427,116427,14879,36127,57573,0.3
"Mansfield, OH Metro Area",53571,53571,160216,160216,160216,21766,46419,86956,14241,24943,2.79,829,28876,20223,139100,213787,213787,110189,110189,44217,44217,16409,16409,16409,12459,12459,131800,131800,50233,12941,69067,0.1
"Marinette, WI-MI Micro Area",18568,18568,67647,67647,67647,25844,51844,39717,5177,9731,2.37,744,13547,10064,131700,86215,86215,42589,42589,,,6026,6026,6026,6334,6334,67530,67530,9361,18225,33042,0

"Marion, IN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,








