CITY,%Total population 65-74,%Total population 65-74,%Total population 65-74,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Percent of population Employed health insurance coverage ages 19-64,% of Owner Occupied Housing Units,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%foriegn born,%foriegn born,%homes heating with wood,%workers taking taxi to work,%workers taking taxi to work
NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Bay City, MI Metro Area",15.2,15.2,15.2,46.6,15.8,10,74,0,0,2.9,142,1625,10.9,0,156922,156922,0,0.6,0.6
"Beaumont-Port Arthur, TX Metro Area",10.9,10.9,10.9,37.9,23.1,8,64.4,,,,,,6.5,,2387,2387,,0.2,0.2
"Beaver Dam, WI Micro Area",11.1,11.1,11.1,43.6,46.8,20.2,62.9,0.1,193,0.8,672,197,9.4,0.3,5474,5474,1.2,0.5,0.5
"Beckley, WV Metro Area",13.3,13.3,13.3,45.6,37.8,14,59.7,,,,,,18.4,,6392,6392,,1.3,1.3
"Bloomington, IL Metro Area",10.9,10.9,10.9,34.1,6.8,4.7,74.9,0,0,0.6,642,0,6.1,0,1726,1726,1.9,0.5,0.5
"Bloomington, IN Metro Area",10.4,10.4,10.4,32.7,28.7,13.3,76.5,0.3,65,1,1024,83,6.5,0.1,11634,11634,0.9,0.5,0.5
"Bloomsburg-Berwick, PA Metro Area",13.2,13.2,13.2,44.8,44.6,15.7,77.1,,,,,,9.3,,4843,4843,,0.1,0.1
"Bluefield, WV-VA Micro Area",11.6,11.6,11.6,36.4,37.9,10,73.9,17.2,50,0.6,4115,0,5.2,0.1,7807,7807,6.3,0.3,0.3
"Boise City, ID Metro Area",8.9,8.9,8.9,37.9,35,12,56.3,0.1,0,0.5,345,18,7.4,0,28827,28827,0.4,4.6,4.6
"Boston-Cambridge-Newton, MA-NH Metro Area",12.8,12.8,12.8,47.8,59.8,16.3,68.9,0.3,0,0.1,2640,47,6.4,0,4201,4201,2.5,0.6,0.6
"Boulder, CO Metro Area",10.3,10.3,10.3,33.7,40,8,70.2,0.2,0,0.9,136,2005,9,0,41237,41237,0,0.6,0.6
"Bowling Green, KY Metro Area",8.8,8.8,8.8,32.3,27.2,7.3,65.8,0.6,133,0.4,4997,1097,8.3,0,304613,304613,0.5,0.8,0.8
"Bozeman, MT Micro Area",11.7,11.7,11.7,38.9,23.2,8.2,65.2,2.6,0,0.6,3148,263,6.5,0,18925,18925,3.5,1.8,1.8
"Brainerd, MN Micro Area",11.1,11.1,11.1,38,33.2,6.6,69.7,0.1,0,0.4,2770,132,8.4,0,23719,23719,1.2,0.4,0.4
"Branson, MO Micro Area",10.7,10.7,10.7,32.7,33,9.8,72.3,,,,,,8.4,,2632,2632,,0,0
"Bremerton-Silverdale, WA Metro Area",9.6,9.6,9.6,33.3,40.4,10.2,65.4,0.1,965,0.9,3243,2567,7.9,0,1709452,1709452,0.1,7,7
"Bridgeport-Stamford-Norwalk, CT Metro Area",11.1,11.1,11.1,40.9,58.9,24.8,57.3,0.1,48,0.7,4978,2260,8.2,0.1,16282,16282,6,0.5,0.5
"Brownsville-Harlingen, TX Metro Area",10.6,10.6,10.6,45.9,7.7,17.9,69.3,5.1,0,0.9,795,0,,0,354,354,2.7,,
"Brunswick, GA Metro Area",10.1,10.1,10.1,34.2,44.1,11,69.1,2.1,0,0.6,9263,1131,7.9,0,125075,125075,1,1.3,1.3
"Cape Girardeau, MO-IL Metro Area",12,12,12,45.2,67.7,15.5,75.8,0,0,0.6,348,0,8.4,0,1288,1288,1,0,0
"Carbondale-Marion, IL Metro Area",7.4,7.4,7.4,33.5,22.3,17.9,64.1,0.1,0,0.8,2322,0,9.2,0,16281,16281,1.8,0.7,0.7
"Carson City, NV Metro Area",14.2,14.2,14.2,52.1,65.4,29.9,73.8,7.7,0,0.6,2596,480,11.5,0,5630,5630,9.6,0.2,0.2
"Casper, WY Metro Area",10.1,10.1,10.1,38.6,28.4,9.6,72.1,0.4,0,1.2,402,0,12,0,5027,5027,0.8,0,0
"Cedar Rapids, IA Metro Area",11.8,11.8,11.8,36.7,53.3,13.6,66.6,0.6,934,0.8,4676,433,6.9,0.1,121491,121491,0.5,1.7,1.7
