CITY,Total Population,TOTAL POPULATION under 18,Total Population of 18+,Renter Occupied Housing Units,Total Population Estimate,Average Household Size Renters,Median Rent for Occupied Housing Units,Median Housing Cost,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,TOTAL POPULATION under 18,Total Population of 18+,Estimate of ages above 25yrs with a high school degree,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Estimate of Owner Occupied Housing Units with a Mortgage,Estimate of Owner Occupied Housing Units without a Mortgage,Total Population of 18+,Total Population,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,%foriegn born,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet,Estimate of Homes using Electric Heat,Estimate of homes using Gas
NAME,,DP05_0019E,DP05_0025E,DP04_0047E,DP05_0001E,DP04_0049E,DP04_0134E,DP04_0089E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0065E,DP05_0087E,DP05_0019E,DP05_0025E,DP02_0061E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0091E,DP04_0092E,DP05_0025E,DP05_0001E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0095PE,DP02_0065E,DP05_0087E,DP05_0088E,DP02_0150PE,DP04_0065E,DP04_0063E
CATEGORY,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Environmental,Environmental
"Seattle-Tacoma-Bellevue, WA Metro Area",#REF!,637824,2334743,413128,2972567,2.16,1605,519600,1496517,114112,91233,623641,2162570,637824,2334743,91233,48530,90716,1718881,143823,570396,208593,2334743,2972567,1496517,114112,91233,366701,623641,2162570,1079123,0.6,347259,792554
"Sebastian-Vero Beach, FL Metro Area",#REF!,177182,541964,89238,719146,1.91,971,229900,358467,22713,16956,125761,517273,177182,541964,16956,40035,74208,393756,39695,139448,62461,541964,719146,358467,22713,16956,59444,125761,517273,255242,0.7,84643,185617
"Sebring, FL Metro Area",#REF!,953219,3411986,502775,4365205,2.2,1051,220900,2140353,144962,176425,623487,3264202,953219,3411986,176425,37996,67153,2199434,240114,757825,498973,3411986,4365205,2140353,144962,176425,435411,623487,3264202,1575441,0.3,198908,1482588
"Seneca, SC Micro Area",#REF!,34079,117539,19796,151618,2.45,775,150300,73247,520,9858,14312,116246,34079,117539,9858,28885,47665,66294,4850,21536,19841,117539,151618,73247,520,9858,3096,14312,116246,54767,0.6,55887,3192
"Sevierville, TN Micro Area",#REF!,42303,141846,19266,184149,2.25,1180,269900,88846,3049,7941,19139,137702,42303,141846,7941,30378,64308,82550,10235,31553,19348,141846,184149,88846,3049,7941,13731,19139,137702,65798,0.4,23922,29251
"Shawnee, OK Micro Area",#REF!,14832,65250,6458,80082,2.22,709,114800,42170,,3874,9373,64924,14832,65250,3874,29416,55193,34519,5761,10724,14388,65250,80082,42170,,3874,1044,9373,64924,34363,0.6,3015,9664
"Sheboygan, WI Metro Area",#REF!,22368,76350,10202,98718,1.79,863,200700,48759,787,2333,15071,74647,22368,76350,2333,38746,75590,54227,4052,18874,11406,76350,98718,48759,787,2333,2619,15071,74647,37104,0.2,6654,28052
"Shelby, NC Micro Area",#REF!,56808,235477,32565,292285,1.84,873,191900,148427,2184,6621,42104,232437,56808,235477,6621,35624,64960,144828,17709,55955,36476,235477,292285,148427,2184,6621,6054,42104,232437,117049,0.4,23961,60582
"Shelton, WA Micro Area",#REF!,128939,525073,98125,654012,2.15,1147,314600,315071,25492,20502,121110,484285,128939,525073,20502,42492,71601,333478,14285,109224,56647,525073,654012,315071,25492,20502,77011,121110,484285,226971,0.8,154481,84702
"Sherman-Denison, TX Metro Area",#REF!,32830,136443,12200,169273,1.98,1103,220900,86190,2950,7061,23479,130868,32830,136443,7061,34000,78575,87060,8825,34800,18907,136443,169273,86190,2950,7061,16438,23479,130868,64983,0.3,29723,6937
"Show Low, AZ Micro Area",#REF!,35917,137400,22548,173317,2.13,861,223000,87912,350,3552,23821,135918,35917,137400,3552,33677,61684,92071,9719,26683,20813,137400,173317,87912,350,3552,4733,23821,135918,68626,0.9,15789,36606
"Shreveport-Bossier City, LA Metro Area",#REF!,50923,128928,20205,179851,3.55,913,249800,93348,10475,13626,10494,104223,50923,128928,13626,19952,51809,69331,17381,17017,10627,128928,179851,93348,10475,13626,52600,10494,104223,55711,,,
"Sierra Vista-Douglas, AZ Metro Area",#REF!,40693,116625,21463,157318,2.42,820,183100,79324,2249,6916,14139,114560,40693,116625,6916,29452,60025,69550,11814,21842,14905,116625,157318,79324,2249,6916,4946,14139,114560,57900,0.7,41645,11420
"Sioux City, IA-NE-SD Metro Area",#REF!,56549,150372,17844,206921,2.97,903,177500,101915,4322,10101,18880,142085,56549,150372,10101,27862,60143,98699,7821,31079,20092,150372,206921,101915,4322,10101,17966,18880,142085,70061,0.3,10010,55776
"Sioux Falls, SD Metro Area",#REF!,17026,66019,11324,83045,1.73,873,128600,41819,,4880,8974,64867,17026,66019,4880,31874,60219,36796,4512,12944,11139,66019,83045,41819,,4880,2572,8974,64867,32347,0.7,6531,22792
"Somerset, PA Micro Area",#REF!,230105,641622,103938,871727,2.61,905,148000,434447,40974,44508,98602,546339,230105,641622,44508,24274,51002,399682,28450,107176,88063,641622,871727,434447,40974,44508,200878,98602,546339,274786,0.3,82167,204835
"South Bend-Mishawaka, IN-MI Metro Area",#REF!,15919,46007,7478,61926,2.41,841,143700,31435,385,2864,6490,44500,15919,46007,2864,28804,60721,28525,2144,8683,6855,46007,61926,31435,385,2864,3051,6490,44500,22219,,,
"Spartanburg, SC Metro Area",#REF!,56507,212504,35864,269011,2.1,784,151500,132693,4502,8574,35651,208992,56507,212504,8574,30715,56851,129464,16257,41458,33239,212504,269011,132693,4502,8574,12832,35651,208992,103442,0.6,14254,82669
"Springfield, IL Metro Area",#REF!,68649,314540,62640,383189,2.22,1131,365700,188797,6260,13729,52432,304697,68649,314540,13729,35611,61712,192989,28911,61689,35829,314540,383189,188797,6260,13729,21463,52432,304697,148694,0.9,119144,29133
"Springfield, MA Metro Area",#REF!,25878,110432,23347,136310,2.3,1191,374500,67427,1572,4360,19594,106466,25878,110432,4360,31603,54752,63811,16669,18214,13623,110432,136310,67427,1572,4360,8850,19594,106466,52743,0.6,10378,31773
"Springfield, MO Metro Area",#REF!,70051,243895,41441,313946,1.93,838,168100,154388,1871,10357,37685,240841,70051,243895,10357,33723,59153,159951,16119,56498,35003,243895,313946,154388,1871,10357,6316,37685,240841,116866,0.3,49959,77763
"Springfield, OH Metro Area",#REF!,22476,73117,15119,95593,2.12,1228,265900,52000,1997,1706,14781,70845,22476,73117,1706,37885,72149,41261,4216,,,73117,95593,52000,1997,1706,6403,14781,70845,38853,0.9,4756,3687
"State College, PA Metro Area",#REF!,58539,193597,49360,252136,1.81,811,246800,126756,10099,4292,47385,185450,58539,193597,4292,39489,66216,146605,10417,38534,22103,193597,252136,126756,10099,4292,17262,47385,185450,92827,0.4,53053,45568
"Statesboro, GA Micro Area",#REF!,14397,52865,5174,67262,2.33,1048,270700,34848,2777,1833,7634,49777,14397,52865,1833,34543,67267,35631,4352,12281,6324,52865,67262,34848,2777,1833,5296,7634,49777,25579,0.3,4750,15389
"Staunton-Waynesboro, VA Metro Area",#REF!,14331,53210,8505,67541,2.4,692,147100,34653,,4456,4572,52880,14331,53210,4456,24940,47682,28275,1915,,,53210,67541,34653,,4456,1169,4572,52880,28302,,17535,5046
"Stevens Point, WI Micro Area",#REF!,30762,90231,11783,120993,2.96,827,154700,60039,,9120,7495,87310,30762,90231,9120,23466,47819,48603,10420,11118,17943,90231,120993,60039,,9120,4644,7495,87310,42746,0.4,3657,24554
"Stillwater, OK Micro Area",#REF!,133257,391331,84942,524588,2.43,1036,169900,259450,9919,16787,56733,377447,133257,391331,16787,27416,55027,213427,31326,75436,37684,391331,524588,259450,9919,16787,32648,56733,377447,186786,0.3,157827,26629
"Stockton-Lodi, CA Metro Area",#REF!,138351,420156,72295,558507,2.47,981,242400,279228,19741,17299,76922,381691,138351,420156,17299,35574,71767,286885,27195,85545,48872,420156,558507,279228,19741,17299,59842,76922,381691,188331,0.4,91937,94291
"Sumter, SC Metro Area",#REF!,16076,58580,8280,74656,1.87,835,168700,36959,,2135,9575,57871,16076,58580,2135,36954,64024,39377,2968,,,58580,74656,36959,,2135,2790,9575,57871,28659,0.3,7305,18951
"Sunbury, PA Micro Area",#REF!,29057,115995,22871,145052,2.1,1306,393900,71084,2212,4925,21278,111729,29057,115995,4925,33354,64533,74167,8423,16692,15582,115995,145052,71084,2212,4925,7282,21278,111729,54953,0.4,14578,27990
"Spokane-Spokane Valley, WA Metro Area",#REF!,90296,313912,49128,404208,2.07,870,157400,196043,4972,18082,41976,310292,90296,313912,18082,30012,52025,188054,31742,67456,51311,313912,404208,196043,4972,18082,12107,41976,310292,148060,0.5,22395,135384
"Syracuse, NY Metro Area",#REF!,45936,153323,24670,199259,2.38,795,135700,92830,903,12228,18019,151661,45936,153323,12228,29017,49724,86739,8511,25460,27788,153323,199259,92830,903,12228,3401,18019,151661,69574,0.1,67094,6622
"Talladega-Sylacauga, AL Micro Area",#REF!,30902,120615,17287,151517,2.12,755,156200,72395,742,7838,17069,118849,30902,120615,7838,29000,51639,70955,3174,20772,23433,120615,151517,72395,742,7838,3133,17069,118849,56283,0.6,39608,16704
"Tallahassee, FL Metro Area",#REF!,22141,82221,10861,104362,2,846,191700,50655,,4411,12784,79685,22141,82221,4411,34935,69068,55787,4415,18835,13062,82221,104362,50655,,4411,3876,12784,79685,39143,0.1,6335,28189
"Tampa-St. Petersburg-Clearwater, FL Metro Area",#REF!,67895,294638,54600,362533,2.09,1463,487700,181136,5514,6106,77878,286844,67895,294638,6106,44178,78109,200100,17769,65391,32132,294638,362533,181136,5514,6106,21694,77878,286844,142665,1,39076,104022
"Terre Haute, IN Metro Area",#REF!,17547,54266,5316,71813,3,623,111100,35952,623,5841,4090,49274,17547,54266,5841,25633,41800,30926,1396,8097,11566,54266,71813,35952,623,5841,5705,4090,49274,23916,,,
"Texarkana, TX-AR Metro Area",#REF!,58637,189024,31422,247661,2.42,698,140400,121963,2787,12917,20900,183040,58637,189024,12917,26474,49065,108729,15378,33596,32170,189024,247661,121963,2787,12917,14916,20900,183040,88953,0.6,52689,38660
"The Villages, FL Metro Area",#REF!,107252,315786,48989,423038,2.19,871,173000,209105,11889,15690,55519,301668,107252,315786,15690,31931,62155,213716,22289,75967,43877,315786,423038,209105,11889,15690,30861,55519,301668,146731,0.3,41462,114667
"Toledo, OH Metro Area",#REF!,15259,60458,9747,75717,2.24,874,185900,36399,,2446,10417,58530,15259,60458,2446,36961,62122,40225,4501,,,60458,75717,36399,,2446,2819,10417,58530,27449,,,
"Topeka, KS Metro Area",#REF!,285553,728028,142584,1013581,3.04,1164,331800,508152,33061,55596,99450,630936,285553,728028,55596,28766,63656,461984,98706,117703,62359,728028,1013581,508152,33061,55596,199644,99450,630936,311344,0.2,118007,171147
"Torrington, CT Micro Area",#REF!,22306,80856,10142,103162,2.5,717,133300,49734,,6673,7620,79732,22306,80856,6673,23768,45298,44893,3056,11202,16662,80856,103162,49734,,6673,1677,7620,79732,37942,,,
"Traverse City, MI Micro Area",#REF!,64089,280792,52334,344881,2.35,1103,219500,167547,12118,11500,42154,266789,64089,280792,11500,33382,53728,167273,12665,43312,39300,280792,344881,167547,12118,11500,32669,42154,266789,128760,0.5,108375,20606
"Trenton, NJ Metro Area",#REF!,50486,156883,22695,207369,2.73,1062,281400,102815,6154,10058,23454,136633,50486,156883,10058,31959,66719,104238,5109,29200,20559,156883,207369,102815,6154,10058,33634,23454,136633,66872,0.1,48021,20596
"Twin Falls, ID Metro Area",#REF!,19495,52285,5065,71780,2.61,868,59600,35170,,4892,3571,51203,19495,52285,4892,18542,41643,25706,8862,,,52285,71780,35170,,4892,1734,3571,51203,24081,,1899,7838
"Truckee-Grass Valley, CA Micro Area",#REF!,20109,84018,8316,104127,2.21,888,238900,51842,1182,5554,12748,82287,20109,84018,5554,37194,72985,54467,3986,20057,11613,84018,104127,51842,1182,5554,3038,12748,82287,40340,0.6,13968,11834
"Tucson, AZ Metro Area",#REF!,23030,103544,14570,126574,2,954,193100,65186,647,7047,14563,102557,23030,103544,7047,37153,65557,63364,9115,20607,19405,103544,126574,65186,647,7047,4118,14563,102557,52630,2.4,7041,18880
"Tullahoma-Manchester, TN Micro Area",#REF!,18342,62742,8161,81084,2.38,1320,482900,39876,2181,2463,14366,57268,18342,62742,2463,53216,86772,44603,2674,,,62742,81084,39876,2181,2463,11847,14366,57268,28578,0.6,,
"Tulsa, OK Metro Area",#REF!,27875,88960,19513,116835,2.36,829,159300,56396,1908,6099,11346,82752,27875,88960,6099,27514,47595,51839,4547,15160,12259,88960,116835,56396,1908,6099,9291,11346,82752,39080,0.3,38761,2425
"Tupelo, MS Micro Area",#REF!,23251,80211,18883,103462,2.06,967,221000,52285,2884,2673,13937,77532,23251,80211,2673,33230,62568,55140,6388,14202,10135,80211,103462,52285,2884,2673,5520,13937,77532,39744,0.5,16825,18368
"Tuscaloosa, AL Metro Area",#REF!,19916,56259,9628,76175,2.23,874,186600,38244,4145,3150,6494,50497,19916,56259,3150,34135,61749,38500,2916,10397,10453,56259,76175,38244,4145,3150,10806,6494,50497,24920,0.6,9857,17888
"Tyler, TX Metro Area",#REF!,32936,124399,17880,157335,2.04,939,333400,79377,913,6604,22727,121239,32936,124399,6604,37173,64055,77045,10029,30857,15059,124399,157335,79377,913,6604,5202,22727,121239,59823,1.4,13319,46382
"Ukiah, CA Micro Area",#REF!,256522,835098,104579,1091620,2.14,1023,245300,545264,23909,35343,166918,801335,256522,835098,35343,35538,72014,574951,48317,192621,113213,835098,1091620,545264,23909,35343,74372,166918,801335,395332,0.3,42372,320355
"Valdosta, GA Metro Area",#REF!,16741,71605,12016,88346,2.04,962,371600,43721,,5802,9835,70516,16741,71605,5802,29625,48785,36766,9884,13554,11185,71605,88346,43721,,5802,3015,9835,70516,34391,1,21747,7451
"Vallejo-Fairfield, CA Metro Area",#REF!,19162,65349,11769,84511,2.19,760,226600,43652,509,2628,8879,64854,19162,65349,2628,30752,57706,37828,5212,12979,9555,65349,84511,43652,509,2628,1458,8879,64854,32899,0.6,5811,24963
"Urban Honolulu, HI Metro Area",#REF!,87312,252724,30033,340036,2.61,1333,416700,172823,8591,12411,44550,236600,87312,252724,12411,37264,85290,181111,18563,66552,22917,252724,340036,172823,8591,12411,30362,44550,236600,119811,0.6,22061,85819
"Utica-Rome, NY Metro Area",#REF!,74897,254593,42301,329490,2.01,839,225300,166055,4018,10258,51405,247009,74897,254593,10258,35926,66652,174994,15326,56961,36424,254593,329490,166055,4018,10258,14153,51405,247009,123595,0.3,24779,92978
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",#REF!,13252,57369,5874,70621,2.27,633,169200,35005,,4098,6101,56842,13252,57369,4098,29842,56488,32783,4039,11567,11144,57369,70621,35005,,4098,1098,6101,56842,27608,0.5,22955,1772
"Waterloo-Cedar Falls, IA Metro Area",#REF!,171449,607399,103017,778848,2.19,936,180700,372861,21916,37053,107984,575092,171449,607399,37053,31996,57908,391754,25482,128260,75726,607399,778848,372861,21916,37053,68471,107984,575092,270239,0.5,179026,104854
"Victoria, TX Metro Area",#REF!,35930,136239,38170,172169,1.88,848,171100,81633,3759,5140,19620,131629,35930,136239,5140,29961,44450,86513,5666,24960,12448,136239,172169,81633,3759,5140,8104,19620,131629,59991,0.3,,
"Vineland-Bridgeton, NJ Metro Area",#REF!,208397,732377,104754,940774,2.26,978,221400,459577,23422,48611,140718,696256,208397,732377,48611,34803,62265,462406,31403,155613,112745,732377,940774,459577,23422,48611,66955,140718,696256,334204,0.7,222191,129629
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",#REF!,15771,53470,9493,69241,2.43,741,135500,32084,,4005,6903,52084,15771,53470,4005,27359,52636,31079,1605,8625,8459,53470,69241,32084,,4005,2277,6903,52084,23947,,,
"Visalia-Porterville, CA Metro Area",#REF!,10826,56700,6126,67526,2.68,403,84400,33555,null,null,null,56621,10826,56700,null,12700,16373,20237,9119,,,56700,67526,33555,null,null,null,null,56621,28247,null,,
"Kalamazoo-Portage, MI Metro Area",#REF!,97163,320919,52674,418082,2.34,906,163700,204083,3822,20920,50207,315004,97163,320919,20920,28740,56348,187753,14383,60002,49918,320919,418082,204083,3822,20920,14765,50207,315004,153016,0.1,126089,26259
"Kapaa, HI Micro Area",#REF!,65566,235254,34289,300820,2.27,1023,231500,152794,3605,20098,30145,229883,65566,235254,20098,33102,67372,142948,17242,54678,28836,235254,300820,152794,3605,20098,13304,30145,229883,115856,0.6,73233,20517
"Kalispell, MT Micro Area",#REF!,33213,102004,14439,135217,2.36,846,191300,65793,,8597,11592,101512,33213,102004,8597,29215,52872,64637,13618,20140,15336,102004,135217,65793,,8597,1091,11592,101512,47993,,,
"Kankakee, IL Metro Area",#REF!,41406,112037,19876,153443,3.06,1184,285600,85187,4827,11222,7698,94881,41406,112037,11222,22640,62155,57538,11128,15414,7853,112037,153443,85187,4827,11222,27733,7698,94881,55169,0.2,,
"Kansas City, MO-KS Metro Area",#REF!,128755,467550,70640,596305,2.05,1061,219000,296542,17109,22657,87176,449757,128755,467550,22657,37524,73559,306869,27098,107401,65212,467550,596305,296542,17109,22657,43926,87176,449757,220485,1.2,87268,84723
"Keene, NH Micro Area",#REF!,26626,109198,17148,135824,2.37,886,270000,66125,4213,6216,15439,103622,26626,109198,6216,31473,66564,74676,5479,19405,13925,109198,135824,66125,4213,6216,11459,15439,103622,49275,1.2,32995,4720
"Kennewick-Richland, WA Metro Area",#REF!,238210,973696,156821,1211906,2.12,1230,278500,594175,44547,38766,196336,914840,238210,973696,38766,44240,82258,652935,75394,216620,114732,973696,1211906,594175,44547,38766,162511,196336,914840,443738,0.3,79278,192221
"Key West, FL Micro Area",#REF!,41962,130545,23059,172507,2.25,900,155800,82125,1843,6425,18482,128253,41962,130545,6425,30735,55444,82401,4759,22091,21532,130545,172507,82125,1843,6425,3467,18482,128253,60204,0.5,51502,9765
"Killeen-Temple, TX Metro Area",#REF!,20469,58797,5659,79266,3.27,1673,724200,39698,2073,419,17429,55952,20469,58797,419,60475,115188,40830,547,13133,7489,58797,79266,39698,2073,419,5973,17429,55952,27878,0.4,2760,20970
"Kingsport-Bristol-Bristol, TN-VA Metro Area",#REF!,16988,67893,11178,84881,1.74,861,320500,44092,,2487,15024,67556,16988,67893,2487,38298,65638,42325,4336,14824,10173,67893,84881,44092,,2487,1086,15024,67556,34186,0.9,9009,21096
"Kingston, NY Metro Area",#REF!,23691,70271,9775,93962,2.55,873,242100,48515,2624,7310,6524,63174,23691,70271,7310,27986,59608,41058,6435,,,70271,93962,48515,2624,7310,11617,6524,63174,32759,0.5,19525,8865
"Klamath Falls, OR Micro Area",#REF!,74606,291835,41820,366441,2.31,712,174600,179606,3381,26434,36342,282663,74606,291835,26434,29107,52737,174562,11611,53729,51051,291835,366441,179606,3381,26434,16567,36342,282663,137639,0.7,106516,20294
"Knoxville, TN Metro Area",#REF!,42832,160074,19232,202906,2.84,1328,472800,101222,5767,7182,28012,148765,42832,160074,7182,35362,69473,93867,9367,29223,23739,160074,202906,101222,5767,7182,23464,28012,148765,73387,0.3,23426,990
"Kokomo, IN Metro Area",#REF!,38117,183955,22673,222072,2.66,1295,365800,108830,5388,5812,42113,172129,38117,183955,5812,42610,67779,93889,3991,40827,26201,183955,222072,108830,5388,5812,17615,42113,172129,84489,0.4,,
"La Crosse-Onalaska, WI-MN Metro Area",#REF!,22223,57148,16056,79371,2.63,1084,161400,38676,1650,2537,7016,54952,22223,57148,2537,22439,49733,26064,2864,,,57148,79371,38676,1650,2537,4761,7016,54952,27764,0.1,,
"Lafayette, LA Metro Area",#REF!,22098,50906,7444,73004,2.34,1033,155600,37450,6602,3877,4055,40733,22098,50906,3877,23809,50725,30133,3535,,,50906,73004,37450,6602,3877,14649,4055,40733,20716,,,
"Lafayette-West Lafayette, IN Metro Area",#REF!,28646,92304,5319,120950,2.26,948,223100,60666,784,4360,13111,90460,28646,92304,4360,34191,74371,59291,4925,23274,15886,92304,120950,60666,784,4360,3547,13111,90460,45026,0.3,2190,29185
"LaGrange, GA Micro Area",#REF!,22989,135094,10929,158083,2.46,1036,206400,77507,470,8174,16812,134005,22989,135094,8174,29621,47197,50681,4019,21823,35517,135094,158083,77507,470,8174,6882,16812,134005,65278,0.7,65104,1247
"Lake Charles, LA Metro Area",#REF!,19817,80513,12873,100330,2.06,801,161500,48241,,4439,11114,79132,19817,80513,4439,29104,47694,46047,7300,14061,15143,80513,100330,48241,,4439,2587,11114,79132,37928,,,
"Lake City, FL Micro Area",#REF!,49542,156670,16646,206212,2.19,806,171400,99356,1196,14630,19008,154266,49542,156670,14630,30619,61478,90894,12908,31901,33560,156670,206212,99356,1196,14630,4731,19008,154266,73994,,,
"Lake Havasu City-Kingman, AZ Metro Area",#REF!,1887072,5319769,1001904,7206841,2.43,1190,252300,3585967,582749,300685,1046870,4432740,1887072,5319769,300685,36472,70893,3640092,195267,952311,647186,5319769,7206841,3585967,582749,300685,1734249,1046870,4432740,2161832,0.3,1397651,1115518
"Lakeland-Winter Haven, FL Metro Area",#REF!,74264,282317,38259,356581,2.11,779,130700,175770,1371,18565,33501,280530,74264,282317,18565,29381,50456,154914,24344,49264,56860,282317,356581,175770,1371,18565,4283,33501,280530,137006,0.6,70636,58926
"Lancaster, PA Metro Area",#REF!,109316,393412,58998,502728,2,974,246000,248603,7413,18375,87846,383404,109316,393412,18375,41897,76963,254267,15539,91538,54642,393412,502728,248603,7413,18375,26712,87846,383404,188252,0.6,146185,45817
"Lansing-East Lansing, MI Metro Area",#REF!,11441,66536,11753,77977,2.44,868,205900,44175,1092,4448,4865,64614,11441,66536,4448,20808,41470,29313,768,,,66536,77977,44175,1092,4448,4315,4865,64614,37814,,,
"Laredo, TX Metro Area",#REF!,49573,113720,13159,163293,2.54,922,324700,79664,907,5319,20238,110683,49573,113720,5319,31253,70559,76236,9132,26700,14489,113720,163293,79664,907,5319,5979,20238,110683,54814,1.4,20544,27772
"Las Cruces, NM Metro Area",#REF!,15216,67670,9118,82886,2.12,690,121900,41360,,2141,8294,67038,15216,67670,2141,27816,52023,40241,6212,10441,13397,67670,82886,41360,,2141,1453,8294,67038,33213,0.5,6399,17631
"Las Vegas-Henderson-Paradise, NV Metro Area",#REF!,518664,1610815,270352,2129479,2.16,989,223200,1048395,74021,69870,346920,1524397,518664,1610815,69870,37422,70224,1115916,106642,393523,170665,1610815,2129479,1048395,74021,69870,167154,346920,1524397,735749,0.4,318631,466854
"Laurel, MS Micro Area",#REF!,36095,141144,26840,177239,2.11,968,270500,88725,6023,1937,30602,134324,36095,141144,1937,40890,66216,103712,9854,29848,13100,141144,177239,88725,6023,1937,13929,30602,134324,66091,0.7,20354,41997
"Lawrence, KS Metro Area",#REF!,12622,92540,20672,105162,1.75,1272,261200,51801,5017,1314,13886,85476,12622,92540,1314,37938,66441,54749,7895,12193,11604,92540,105162,51801,5017,1314,11778,13886,85476,42300,1.1,14550,19588
"Lawton, OK Metro Area",#REF!,34317,125733,15516,160050,2.08,865,169800,82064,,7951,17422,124612,34317,125733,7951,31979,58254,73406,9352,27600,18821,125733,160050,82064,,7951,2061,17422,124612,64236,0.4,6432,45433
"Lebanon, PA Metro Area",#REF!,137356,449402,76637,586758,2.28,930,178100,283298,6578,28057,79164,441605,137356,449402,28057,29987,54123,274140,16531,84029,67335,449402,586758,283298,6578,28057,14852,79164,441605,208353,0.3,117254,89871
"Lewiston, ID-WA Metro Area",#REF!,41649,139150,22692,180799,2.27,861,158700,85429,1211,8526,18877,137023,41649,139150,8526,28740,52186,83759,8323,25068,23702,139150,180799,85429,1211,8526,4132,18877,137023,63852,0.1,35062,29559
"Lewiston-Auburn, ME Metro Area",#REF!,365140,1272526,216707,1637666,2.35,1238,280600,800357,50878,57528,263566,1219014,365140,1272526,57528,37461,68394,810779,67663,279695,148485,1272526,1637666,800357,50878,57528,163462,263566,1219014,587621,0.5,600987,24452
"Lexington-Fayette, KY Metro Area",#REF!,50042,156118,27041,206160,2.52,1002,190300,113754,2099,6904,16428,152576,50042,156118,6904,28943,55534,69713,10059,29978,16102,156118,206160,113754,2099,6904,9596,16428,152576,87578,0.3,64472,3294
"Lima, OH Metro Area",#REF!,25550,101257,15868,126807,2.18,670,99900,63455,269,6681,12246,100170,25550,101257,6681,26796,46661,51651,8872,17421,20020,101257,126807,63455,269,6681,2963,12246,100170,49412,0.5,8175,35075
"Lincoln, NE Metro Area",#REF!,37488,126893,19950,164381,2.17,883,193500,82241,909,6221,19712,122192,37488,126893,6221,33099,66090,85713,8579,31581,16345,126893,164381,82241,909,6221,7128,19712,122192,60089,0.6,12109,46941
"Little Rock-North Little Rock-Conway, AR Metro Area",#REF!,20363,59923,6031,80286,3.07,982,304300,40485,,5170,10407,59011,20363,59923,5170,29037,72116,37696,1043,12448,6793,59923,80286,40485,,5170,3994,10407,59011,28790,,,
"Logan, UT-ID Metro Area",#REF!,34380,117318,14793,151698,2.1,672,179800,76504,643,5588,18424,116573,34380,117318,5588,30212,63942,75093,4877,23184,17835,117318,151698,76504,643,5588,2224,18424,116573,59319,0.5,29764,15183
"London, KY Micro Area",#REF!,37740,168232,28678,205972,2.01,773,184600,100608,1308,8361,27449,166854,37740,168232,8361,31986,51119,98578,8568,29756,28333,168232,205972,100608,1308,8361,5525,27449,166854,80731,0.7,64441,15361
"Longview, TX Metro Area",#REF!,25502,106665,12227,132167,1.91,716,102200,66226,376,4491,15817,106409,25502,106665,4491,31672,52995,58700,6816,19517,23539,106665,132167,66226,376,4491,932,15817,106409,52520,1.5,7435,24929
"Longview, WA Metro Area",#REF!,33839,101039,17598,134878,2.49,801,162300,66072,558,7206,16172,99495,33839,101039,7206,27803,47935,64231,7539,18173,15384,101039,134878,66072,558,7206,2153,16172,99495,46918,0.2,,
"Los Angeles-Long Beach-Anaheim, CA Metro Area",#REF!,44539,138002,20666,182541,2.35,868,149500,90116,2548,8902,17940,134305,44539,138002,8902,28475,55045,88155,6229,29047,19933,138002,182541,90116,2548,8902,7449,17940,134305,65322,0.8,32978,27343
"Louisville\/Jefferson County, KY-IN Metro Area",#REF!,35358,128910,18538,164268,2.71,1592,744400,81587,8984,3674,23998,115891,35358,128910,3674,38342,76273,84269,8793,22674,15107,128910,164268,81587,8984,3674,31611,23998,115891,56672,0.9,21012,532
"Lubbock, TX Metro Area",#REF!,56123,204985,38481,261108,1.91,898,208300,128224,4110,6786,38925,199990,56123,204985,6786,32618,62128,137770,15381,41696,25465,204985,261108,128224,4110,6786,13052,38925,199990,97148,0.5,18707,77543
"Lufkin, TX Micro Area",#REF!,23533,84921,9221,108454,2.39,877,444600,54545,1178,2526,18244,83615,23533,84921,2526,36423,66126,55926,5661,19409,14270,84921,108454,54545,1178,2526,2915,18244,83615,42308,0.9,14114,21067
"Lumberton, NC Micro Area",#REF!,23833,82768,11450,106601,2.33,922,165700,52894,620,2714,9342,80937,23833,82768,2714,31939,63364,52758,5144,17050,12520,82768,106601,52894,620,2714,4297,9342,80937,39253,0.2,,
