CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0049E,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Zanesville, OH Micro Area",10.3,10.3,10.3,43.3,12,6.5,2.5,76.1,0.1,0,0.5,996,0,8.1,0,35.8,35.8,1.7,0,0
"Charleston-North Charleston, SC Metro Area",11.4,11.4,11.4,43.2,45.9,11.2,2.04,68.3,0,0,0.2,0,0,6,0,45.1,45.1,0,0.9,0.9
"Champaign-Urbana, IL Metro Area",11.1,11.1,11.1,45.1,33.8,6.7,2.59,68.6,0,0,0.7,259,0,7.9,0,54.6,54.6,0.5,0.1,0.1
"Charleston, WV Metro Area",10.1,10.1,10.1,38.6,56,13.4,2.56,66.6,11.3,32,0.2,965,74,8.5,0,52.6,52.6,1.4,1.7,1.7
"Charlotte-Concord-Gastonia, NC-SC Metro Area",11.1,11.1,11.1,49.1,42.8,10.7,2.77,62,,,,,,8.3,,38.6,38.6,,0,0
"Charlottesville, VA Metro Area",12,12,12,45.7,50,13.9,2.12,76,42.1,1653,0.3,1250,0,9.9,5.2,25.4,25.4,3.9,0.2,0.2
"Chattanooga, TN-GA Metro Area",10.1,10.1,10.1,31.2,69,13.8,2.14,74.5,1.3,86,0.6,827,0,8.3,0.2,38.6,38.6,2.2,1.4,1.4
"Cheyenne, WY Metro Area",11.7,11.7,11.7,37.5,48.4,14,1.94,73,6.6,0,0.8,5709,48,8.6,0,63.5,63.5,4.6,1.6,1.6
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",10.1,10.1,10.1,37,18.8,5.8,2.14,61.4,1.5,0,0.3,2168,391,6.7,0,41.4,41.4,0.8,3.9,3.9
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",10.8,10.8,10.8,38.2,31.7,13,2.89,74.9,23.3,1029,0.1,1789,255,8.2,1.8,76.6,76.6,3.2,5.9,5.9
